engine,model,block_size,input_len,output_len,avg,p10,p25,p50,p75,p90,p99
python,Qwen/Qwen2.5-3B-Instruct,16,256,256,2.681267578092714,2.6799220625311135,2.680804716423154,2.6814478738233447,2.6818145611323416,2.6824879840016367,2.6827390366978943
python,Qwen/Qwen2.5-3B-Instruct,16,256,512,5.315909924792747,5.312804637476802,5.314763770904392,5.316131927073002,5.317234446294606,5.318486322462559,5.321350502036512
python,Qwen/Qwen2.5-3B-Instruct,16,256,1024,10.672439425873259,10.668512442149222,10.671930561307818,10.672820455394685,10.673632612917572,10.6751146517694,10.676184752695262
python,Qwen/Qwen2.5-3B-Instruct,16,512,128,1.446987751374642,1.4455239836126565,1.4462564224377275,1.4472797885537148,1.4476549997925758,1.4481917962431907,1.4501048514433206
python,Qwen/Qwen2.5-3B-Instruct,16,512,256,2.7666692258169254,2.765305342525244,2.766144445165992,2.7665299251675606,2.7672123392112553,2.7682103753089904,2.7694274934753778
python,Qwen/Qwen2.5-3B-Instruct,16,512,512,5.431949062272906,5.4289265114814045,5.430333246476948,5.431573643349111,5.433423371985555,5.435320400260389,5.436534433905035
python,Qwen/Qwen2.5-3B-Instruct,16,512,1024,10.839613685632745,10.837026182003319,10.83840340655297,10.839089660905302,10.840940790716559,10.842367124930025,10.843105469867588
python,Qwen/Qwen2.5-3B-Instruct,16,1024,128,1.6190330936883888,1.6152228467166423,1.6179135460406542,1.6197770247235894,1.6206705095246434,1.621101033873856,1.6214505903795362
python,Qwen/Qwen2.5-3B-Instruct,16,1024,256,2.9671196940044564,2.9626421011984347,2.9653811589814723,2.9681153651326895,2.9695067508146167,2.9700795739889143,2.9714408896304665
python,Qwen/Qwen2.5-3B-Instruct,16,1024,512,5.692083568498492,5.686357020959258,5.6888767052441835,5.692197769880295,5.696182911284268,5.699414045922458,5.699877708684653
python,Qwen/Qwen2.5-3B-Instruct,16,1024,1024,11.198560178217788,11.193117078766226,11.194922423455864,11.198650198057294,11.201518009416759,11.204765118658543,11.206326351054013
python,Qwen/Qwen2.5-3B-Instruct,32,32,128,1.3016059034193554,1.3012279067188501,1.3014299012720585,1.3016420919448137,1.3017978323623538,1.3019244577735662,1.3020630220323801
python,Qwen/Qwen2.5-3B-Instruct,32,32,256,2.589411935210228,2.5888834711164237,2.5891765519045293,2.5895145935937762,2.5896841497160494,2.5898142997175455,2.590078643746674
python,Qwen/Qwen2.5-3B-Instruct,32,32,512,5.1830661540850995,5.182479897327721,5.182701665908098,5.183021526783705,5.183390525169671,5.183803645521403,5.184051946159452
